Name,importance
10,0.001782531151548028
15,0.0011883541010320187
19,0.008318479172885418
2007,0.0011883541010320187
2012,0.0005941770505160093
2013,0.0005941770505160093
30,0.0029708852525800467
47,0.003565062303096056
49,0.008318479172885418
50,0.0005941770505160093
65,0.0011883541010320187
75,0.0005941770505160093
abortion,0.001782531151548028
abuse,0.0029708852525800467
accelerating,0.0023767082020640373
acquitted,0.001782531151548028
across,0.0011883541010320187
actually,0.0005941770505160093
adolescents,0.0005941770505160093
afghan,0.0011883541010320187
afghanistan,0.0011883541010320187
africa,0.0005941770505160093
after,0.0011883541010320187
again,0.0005941770505160093
against,0.004159239586442709
agency,0.005941770505160093
ago,0.0011883541010320187
agrees,0.0005941770505160093
aid,0.0023767082020640373
aided,0.0011883541010320187
aids,0.004159239586442709
all,0.001782531151548028
allowed,0.0005941770505160093
also,0.0005941770505160093
american,0.001782531151548028
ammunition,0.0029708852525800467
amount,0.0005941770505160093
and,0.010101010091602802
annual,0.0029708852525800467
anti,0.0011883541010320187
any,0.0005941770505160093
anyone,0.001782531151548028
approval,0.0011883541010320187
arab,0.0023767082020640373
are,0.0005941770505160093
area,0.0023767082020640373
argue,0.0011883541010320187
army,0.0005941770505160093
as,0.001782531151548028
assange,0.003565062303096056
assassination,0.004753416404128075
assault,0.0005941770505160093
assaults,0.0023767082020640373
at,0.001782531151548028
atom,0.0011883541010320187
au,0.0029708852525800467
australia,0.0005941770505160093
australian,0.0023767082020640373
away,0.0005941770505160093
back,0.001782531151548028
bahrain,0.0005941770505160093
ban,0.0005941770505160093
bans,0.0005941770505160093
bars,0.0005941770505160093
bbc,0.001782531151548028
be,0.0011883541010320187
beat,0.0005941770505160093
been,0.004159239586442709
before,0.0011883541010320187
begin,0.0005941770505160093
behind,0.0023767082020640373
being,0.001782531151548028
belief,0.0005941770505160093
berlin,0.0005941770505160093
berlusconi,0.004159239586442709
bias,0.0005941770505160093
bid,0.0005941770505160093
bill,0.0005941770505160093
blocked,0.0005941770505160093
bloody,0.001782531151548028
body,0.0005941770505160093
bomb,0.0005941770505160093
bombers,0.0011883541010320187
boo,0.0005941770505160093
both,0.0011883541010320187
bound,0.0005941770505160093
brazil,0.0011883541010320187
breaking,0.0011883541010320187
bringing,0.0005941770505160093
britain,0.001782531151548028
british,0.0005941770505160093
brits,0.0005941770505160093
broadcast,0.0005941770505160093
brought,0.0023767082020640373
build,0.0011883541010320187
bursts,0.001782531151548028
bush,0.003565062303096056
by,0.004159239586442709
california,0.0005941770505160093
call,0.0005941770505160093
calls,0.0011883541010320187
can,0.0005941770505160093
canada,0.0023767082020640373
capital,0.0011883541010320187
cards,0.0023767082020640373
carrying,0.001782531151548028
cause,0.0011883541010320187
ceiling,0.0005941770505160093
central,0.0005941770505160093
charge,0.001782531151548028
children,0.001782531151548028
china,0.0011883541010320187
chinas,0.0005941770505160093
chinese,0.0011883541010320187
christmas,0.0011883541010320187
city,0.001782531151548028
claimed,0.0005941770505160093
claims,0.001782531151548028
class,0.0005941770505160093
clinton,0.0005941770505160093
collapse,0.001782531151548028
comments,0.001782531151548028
committed,0.0011883541010320187
communist,0.0005941770505160093
completely,0.0005941770505160093
condemned,0.0005941770505160093
condom,0.001782531151548028
conference,0.0023767082020640373
confirm,0.0005941770505160093
congo,0.0023767082020640373
construction,0.0023767082020640373
continues,0.0023767082020640373
cops,0.0011883541010320187
cost,0.0005941770505160093
could,0.0029708852525800467
country,0.001782531151548028
court,0.0011883541010320187
create,0.0011883541010320187
crisis,0.008912655524909496
criticised,0.0005941770505160093
damages,0.001782531151548028
danish,0.0023767082020640373
day,0.001782531151548028
days,0.007130124606192112
dead,0.0011883541010320187
deadly,0.0023767082020640373
deals,0.0011883541010320187
death,0.005941770505160093
debt,0.004159239586442709
default,0.0011883541010320187
defend,0.0005941770505160093
democratic,0.0005941770505160093
deploy,0.0011883541010320187
destroys,0.0005941770505160093
devastating,0.0005941770505160093
developing,0.0011883541010320187
died,0.0011883541010320187
different,0.0029708852525800467
director,0.001782531151548028
disciplinary,0.0023767082020640373
discovered,0.005941770505160093
dissent,0.0011883541010320187
dmitry,0.0005941770505160093
document,0.0005941770505160093
dodge,0.0011883541010320187
don,0.0005941770505160093
dont,0.0005941770505160093
dow,0.0005941770505160093
down,0.0011883541010320187
driven,0.0005941770505160093
drugs,0.0005941770505160093
drunk,0.0011883541010320187
dubai,0.0005941770505160093
due,0.0011883541010320187
durban,0.0011883541010320187
duty,0.0029708852525800467
earth,0.0005941770505160093
east,0.0005941770505160093
economic,0.0011883541010320187
economist,0.0005941770505160093
edward,0.0023767082020640373
egypt,0.004753416404128075
eligible,0.0029708852525800467
emerged,0.0023767082020640373
employees,0.0005941770505160093
end,0.0005941770505160093
english,0.0011883541010320187
environment,0.0005941770505160093
era,0.0023767082020640373
escape,0.0005941770505160093
ethnic,0.0005941770505160093
eu,0.0023767082020640373
ever,0.0011883541010320187
exactly,0.0005941770505160093
example,0.0005941770505160093
experienced,0.003565062303096056
expert,0.0011883541010320187
explosion,0.0005941770505160093
expression,0.003565062303096056
facebook,0.0005941770505160093
fact,0.0005941770505160093
fails,0.0011883541010320187
family,0.0005941770505160093
farmers,0.0005941770505160093
feared,0.0005941770505160093
fears,0.0005941770505160093
federal,0.0023767082020640373
few,0.0005941770505160093
findings,0.0005941770505160093
fined,0.0005941770505160093
fire,0.003565062303096056
fires,0.0005941770505160093
firing,0.003565062303096056
first,0.0011883541010320187
fisk,0.005941770505160093
fly,0.001782531151548028
focusing,0.0023767082020640373
football,0.0005941770505160093
