,dnn3,dnn4,dnn5,dt,lr,mlp,rf,svm,xgb
F1,0.15625,0.08333333333333333,0.0,0.0975609756097561,0.0,0.10810810810810811,0.0923076923076923,0.1794871794871795,0.03636363636363636
Precision Score,0.5,0.16666666666666666,0.0,0.14285714285714285,0.0,0.2,0.2727272727272727,0.2916666666666667,1.0
Recall Score,0.09259259259259259,0.05555555555555555,0.0,0.07407407407407407,0.0,0.07407407407407407,0.05555555555555555,0.12962962962962962,0.018518518518518517
Train F1,1.0,1.0,1.0,0.5657894736842105,0.0,1.0,0.9688249400479615,0.9976580796252927,0.8766404199475066
Train Precision Score,1.0,1.0,1.0,0.9555555555555556,0.0,1.0,0.9950738916256158,1.0,1.0
Train Recall Score,1.0,1.0,1.0,0.40186915887850466,0.0,1.0,0.9439252336448598,0.9953271028037384,0.780373831775701
